"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"4454","Italy",2020-04-26,96,197675,2324,26644,260,64928,1808,106103,326.9,3.8,175.5,64,62
"4522","Jamaica",2020-04-26,96,350,45,7,0,28,0,315,11.8,1.5,10.6,12,0
"4644","Japan",2020-04-26,96,13441,210,372,12,1809,153,11260,10.6,0.2,8.9,66,49
"4658","Jordan",2020-04-26,96,447,3,7,0,337,5,103,4.4,0,1,36,0
"4707","Kazakhstan",2020-04-26,96,2717,116,25,0,682,36,2010,14.5,0.6,10.7,32,17
"4762","Kenya",2020-04-26,96,355,12,14,0,106,8,235,0.7,0,0.4,25,12
"4800","Kosovo",2020-04-26,96,510,0,12,0,93,0,405,28.3,0,22.5,27,11
"4833","Kuwait",2020-04-26,96,3075,183,20,1,806,150,2249,72,4.3,52.7,44,6
"4910","Kyrgyzstan",2020-04-26,96,682,17,8,0,370,25,304,10.5,0.3,4.7,27,0
"4949","Lao People's Democratic Republic",2020-04-26,96,19,0,0,0,7,0,12,0.3,0,0.2,0,0
"4973","Latvia",2020-04-26,96,812,8,12,0,267,0,533,43.1,0.4,28.3,38,5
"5032","Lebanon",2020-04-26,96,707,3,24,0,145,2,538,10.4,0,7.9,43,29
"5091","Liberia",2020-04-26,96,124,4,12,1,25,0,87,2.5,0.1,1.7,6,2
"5142","Libya",2020-04-26,96,61,0,2,0,18,0,41,0.9,0,0.6,0,0
"5213","Liechtenstein",2020-04-26,96,82,1,1,0,55,0,26,215.8,2.6,68.4,0,0
"5253","Lithuania",2020-04-26,96,1438,12,41,0,467,7,930,52.8,0.4,34.2,36,23
"5290","Luxembourg",2020-04-26,96,3723,12,88,3,3104,16,531,594.7,1.9,84.8,41,31
"5377","Macao",2020-04-26,96,45,0,0,0,31,3,14,6.9,0,2.2,0,0
"5450","Madagascar",2020-04-26,96,124,1,0,0,71,9,53,0.4,0,0.2,16,0
"5531","Mainland China",2020-04-26,96,82830,3,4633,1,77474,80,723,5.8,0,0.1,96,96
"5571","Malawi",2020-04-26,96,34,1,3,0,4,0,27,0.2,0,0.1,0,0
"5657","Malaysia",2020-04-26,96,5780,38,98,0,3862,100,1820,17.9,0.1,5.6,49,36
"5695","Maldives",2020-04-26,96,214,37,0,0,17,0,197,39.6,6.8,36.4,4,0
"5752","Mali",2020-04-26,96,389,19,23,2,112,21,254,1.9,0.1,1.3,15,14
"5785","Malta",2020-04-26,96,448,0,4,0,282,33,162,101.4,0,36.7,35,0
"5842","Mauritania",2020-04-26,96,7,0,1,0,6,0,0,0.2,0,0,0,0
"5859","Mauritius",2020-04-26,96,332,1,9,0,299,4,24,26.1,0.1,1.9,30,0
"5937","Mexico",2020-04-26,96,14677,835,1351,46,8354,1205,4972,11.4,0.6,3.9,39,30
"5967","Moldova, Republic of",2020-04-26,96,3408,104,96,2,895,70,2417,84.5,2.6,59.9,35,23
"6012","Monaco",2020-04-26,96,94,0,4,0,42,0,48,241,0,123.1,0,0
"6078","Mongolia",2020-04-26,96,38,1,0,0,9,0,29,1.2,0,0.9,0,0
"6136","Montenegro",2020-04-26,96,321,1,7,1,153,0,161,51.1,0.2,25.6,27,0
"6164","Morocco",2020-04-26,96,4065,168,161,2,593,56,3311,11,0.5,9,36,32
"6246","Mozambique",2020-04-26,96,76,6,0,0,12,0,64,0.2,0,0.2,0,0
"6265","MS Zaandam Cruise Ship",2020-04-26,96,9,0,2,0,0,0,7,NA,NA,NA,0,0
"6286","Namibia",2020-04-26,96,16,0,0,0,8,1,8,0.6,0,0.3,0,0
"6413","Nepal",2020-04-26,96,52,3,0,0,16,4,36,0.2,0,0.1,0,0
"6436","Netherlands",2020-04-26,96,38040,656,4491,67,117,15,33432,222,3.8,195.1,52,45
"6514","New Zealand",2020-04-26,96,1469,0,19,1,1180,38,270,30.5,0,5.6,36,10
"6550","Nicaragua",2020-04-26,96,13,1,3,0,7,0,3,0.2,0,0,0,0
"6590","Niger",2020-04-26,96,696,12,29,2,350,25,317,2.9,0,1.3,24,22
"6638","Nigeria",2020-04-26,96,1273,91,40,5,239,17,994,0.6,0,0.5,29,16
"6710","North Macedonia",2020-04-26,96,1386,19,61,2,500,126,825,66.5,0.9,39.6,36,26
"6749","Norway",2020-04-26,96,7527,28,201,0,32,0,7294,138.8,0.5,134.6,52,35
"6798","Oman",2020-04-26,96,1998,93,10,0,333,4,1655,39.1,1.8,32.4,32,3
"6912","Pakistan",2020-04-26,96,13328,605,281,12,2936,70,10111,6,0.3,4.6,42,31
"6954","Panama",2020-04-26,96,5779,241,165,6,338,0,5276,133.9,5.6,122.3,39,30
"6964","Papua New Guinea",2020-04-26,96,8,0,0,0,0,0,8,0.1,0,0.1,0,0
"7018","Paraguay",2020-04-26,96,228,0,9,0,85,0,134,3.2,0,1.9,22,0
"7087","Peru",2020-04-26,96,27517,2186,728,28,8088,291,18701,83.5,6.6,56.7,41,31
"7118","Philippines",2020-04-26,96,7579,285,501,7,862,70,6216,6.9,0.3,5.7,44,43
"7223","Poland",2020-04-26,96,11617,344,535,11,2265,139,8817,30.7,0.9,23.3,44,34
"7292","Portugal",2020-04-26,96,23864,472,903,23,1329,52,21632,234,4.6,212.1,45,37
"7332","Qatar",2020-04-26,96,10287,929,10,0,1012,83,9265,357.1,32.2,321.6,47,5
"7429","Republic of Korea",2020-04-26,96,10738,10,243,1,8764,47,1731,20.9,0,3.4,67,62
"7471","Republic of the Congo",2020-04-26,96,200,0,6,0,19,0,175,3.6,0,3.2,12,0
"7557","Romania",2020-04-26,96,11036,401,619,18,3054,164,7363,57.4,2.1,38.3,44,34
"7563","Russia",2020-04-26,96,80949,6361,747,66,6767,517,73435,55.5,4.4,50.3,41,27
"7689","Rwanda",2020-04-26,96,191,8,0,0,92,4,99,1.5,0.1,0.8,23,0
"7690","Saint Kitts and Nevis",2020-04-26,96,15,0,0,0,2,0,13,28.3,0,24.5,0,0
"7725","Saint Lucia",2020-04-26,96,15,0,0,0,15,0,0,8.2,0,0,0,0
"7776","Saint Vincent and the Grenadines",2020-04-26,96,14,0,0,0,5,0,9,12.6,0,8.1,0,0
"7852","San Marino",2020-04-26,96,538,25,41,1,64,0,433,1582.4,73.5,1273.5,43,40
"7889","Sao Tome and Principe",2020-04-26,96,4,0,0,0,0,0,4,1.8,0,1.8,0,0
"7929","Saudi Arabia",2020-04-26,96,17522,1223,139,3,2357,142,15026,50.3,3.5,43.2,44,27
"7978","Senegal",2020-04-26,96,671,57,9,2,283,7,379,4,0.3,2.3,32,0
"8051","Serbia",2020-04-26,96,6630,0,125,0,870,0,5635,75.9,0,64.5,39,30
"8066","Seychelles",2020-04-26,96,11,0,0,0,6,0,5,11.2,0,5.1,0,0
"8119","Sierra Leone",2020-04-26,96,93,11,4,2,10,0,79,1.2,0.1,1,0,0
"8171","Singapore",2020-04-26,96,13624,931,12,0,1060,58,12552,232.9,15.9,214.6,58,13
"8249","Slovakia",2020-04-26,96,1379,6,18,1,394,8,967,25.3,0.1,17.7,40,9
"8279","Slovenia",2020-04-26,96,1396,8,82,1,221,2,1093,67.1,0.4,52.6,45,29
"8348","Somalia",2020-04-26,96,436,46,23,5,10,2,403,2.7,0.3,2.5,10,4
"8379","South Africa",2020-04-26,96,4546,185,87,1,1473,0,2986,7.7,0.3,5,40,22
"8433","South Sudan",2020-04-26,96,6,1,0,0,0,0,6,0.1,0,0.1,0,0
"8469","Spain",2020-04-26,96,226629,2870,23190,288,117727,22019,85712,484.7,6.1,183.3,56,51
"8620","Sri Lanka",2020-04-26,96,523,63,7,0,120,2,396,2.4,0.3,1.8,34,0
"8644","Sudan",2020-04-26,96,237,24,21,4,20,1,196,0.5,0.1,0.4,7,9
"8683","Suriname",2020-04-26,96,10,0,1,0,7,0,2,1.7,0,0.3,0,0
"8726","Sweden",2020-04-26,96,18640,463,2194,2,1005,0,15441,184.6,4.6,152.9,52,40
"8803","Switzerland",2020-04-26,96,29061,167,1610,11,21800,500,5651,335.8,1.9,65.3,53,45
